,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,DHW_to_heat,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,42856.18526038538,5114.631552099516,11.86211122994877,0.27470788769209287,20.0,0.0,0.0,5.0,5.0,21.3451107691694,0.0,0.0,30.081833689846324,2.992644478615535,,,3.366484245021305,0.0,0.0,,3.4394999999999993,30.301599999999997,12.5465,3.230166666666667
1,16969.870648226497,5326.163344518563,13.287851024232769,0.0,0.0,0.0,0.0,0.0,0.0,18.804731319111355,0.0,1.0,30.287040000000097,3.230166666666567,,,1.331985956872579,0.0,0.0,,3.4394999999999993,30.301599999999997,12.5465,3.230166666666667
2,16097.206921139732,5537.695136937581,13.323418942856378,0.0,0.0,0.0,0.0,0.0,0.0,11.79672058511592,0.0,1.0,30.287039999999998,3.2301666666666664,,,0.0,0.0,0.0,,3.4394999999999993,30.301599999999997,12.5465,3.230166666666667
3,15565.149038716558,5749.226929356613,13.353544941614395,0.0,0.0,0.0,0.0,0.0,0.0,5.860941072607746,0.0,1.0,30.287039999999998,3.2301666666666664,,,0.0,0.0,0.0,,3.4394999999999993,30.301599999999997,12.5465,3.230166666666667
4,15047.508576402986,5960.758721775665,14.0,0.27470788769209287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.287039999999998,3.2301666666666664,,,0.0,0.0,0.0,,3.4394999999999993,30.301599999999997,12.5465,3.230166666666667
