,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,DHW_to_heat,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,592030.0560908552,4295.144388058929,5.0,46.0,273.13,848.75,2000.0,2000.0,2000.0,29.018200695217207,0.0,0.0,0.0,0.0,0.0,0.0,250.00000000000006,0.0,0.0,60.31274048665205,4.931166666666667,31.12866666666667,0.0,4.343333333333333
1,19816.922812987683,4895.831563440028,7.0,39.0,0.0,0.0,0.0,31.12847,0.0,23.52475462212463,0.0,2.0,0.0,4.343333333333333,0.0,0.0,1.1644858975230346,0.0,0.0,60.31274048665205,4.931166666666667,31.12866666666667,0.0,4.343333333333333
2,18010.45957029857,5496.51873882091,9.0,34.0,0.0,0.0,0.0,26.402346543632646,0.0,16.49843526636364,0.0,7.0,0.0,9.069456789700691,0.0,0.0,0.0,0.0,0.0,60.31274048665205,4.931166666666667,31.12866666666667,0.0,4.343333333333333
3,14977.012782078378,6097.2059142022335,18.0,0.0,0.0,0.0,0.0,0.0,0.0,15.795179469109106,0.0,32.0,0.0,35.471803333333334,0.0,0.0,0.0,0.0,0.0,60.31274048665205,4.931166666666667,31.12866666666667,0.0,4.343333333333333
4,13670.452107759607,6697.893089583335,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,35.471803333333334,0.0,0.0,0.0,0.0,0.0,60.31274048665205,4.931166666666667,31.12866666666667,0.0,4.343333333333333
