,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,DHW_to_heat,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,597625.3361965028,5321.951354064822,9.0,56.0,273.13,848.75,2000.0,2000.0,2000.0,42.42535972445896,0.0,0.0,0.0,0.0,16.0,19.0,250.00000000000006,0.0,0.0,69.69775180712126,6.566833333333332,38.33208333333329,18.29816666666667,5.378666666666668
1,24782.75577263741,6084.364567337108,11.0,46.0,0.0,0.0,0.0,36.66942857320342,0.0,35.328905614339924,0.0,2.0,0.0,5.378666666666668,1.6624880934632016,18.298166666666667,3.0616005601294547,0.0,0.0,69.69775180712126,6.566833333333332,38.33208333333329,18.29816666666667,5.378666666666668
2,22188.04707009125,6846.7777806091735,11.0,42.0,0.0,0.0,0.0,33.0605812687723,0.0,20.650452016097443,0.0,6.0,0.0,8.987890334749908,1.6621117298110757,18.298166666666667,0.0,0.0,0.0,69.69775180712126,6.566833333333332,38.33208333333329,18.29816666666667,5.378666666666668
3,18768.685635994752,7609.190993881404,22.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75229303544572,0.0,37.0,0.0,42.04847160350646,1.6621117298268326,18.298166666666667,0.0,0.0,0.0,69.69775180712126,6.566833333333332,38.33208333333329,18.29816666666667,5.378666666666668
4,17167.291770402986,8371.604207153963,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,42.048471603506385,1.6621117298269041,18.298166666666667,0.0,0.0,0.0,69.69775180712126,6.566833333333332,38.33208333333329,18.29816666666667,5.378666666666668
