,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,DHW_to_heat,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,2336741.5684870547,8713.115154427382,21.0,31.0,273.13,848.75,2000.0,2000.0,2000.0,29.19848134235703,0.0,0.0,18.0,0.0,,,250.00000000000006,0.0,0.0,,16.51046,23.126966666666664,17.2189,1.2974866666666667
1,1691364.8521531178,8776.668154859715,21.0,19.0,50.0,0.0,0.0,15.01060786256935,0.0,29.19848134235703,0.0,9.0,17.2189,0.0,,,6.473333333333333,0.0,0.0,,16.51046,23.126966666666664,17.2189,1.2974866666666667
2,1631642.7794333724,8840.221155292023,21.0,8.0,50.0,0.0,0.0,5.877242113501241,0.0,29.19848134235703,0.0,18.0,17.2189,0.0,,,6.473333333333333,0.0,0.0,,16.51046,23.126966666666664,17.2189,1.2974866666666667
3,1572054.5302431737,8903.774155724363,21.0,7.0,50.0,0.0,0.0,5.0,0.0,29.19848134235704,0.0,24.0,17.2189,0.0,,,6.4733333333333345,0.0,0.0,,16.51046,23.126966666666664,17.2189,1.2974866666666667
4,1510894.6504480473,8967.327156156667,21.0,0.0,50.0,0.0,0.0,0.0,0.0,29.19848134235703,0.0,24.0,17.2189,0.0,,,6.343333333333332,0.0,0.0,,16.51046,23.126966666666664,17.2189,1.2974866666666667
