,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,DHW_to_heat,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,2514087.705777403,5006.478365466071,7.0,61.0,273.13,848.75,2000.0,2000.0,2000.0,26.35609164882388,0.0,0.0,14.0,0.0,,,250.00000000000006,0.0,0.0,,5.062333333333333,43.93001333333333,13.175399999999994,3.7916666666666665
1,1439841.8433288513,5402.016289246436,7.0,34.0,50.0,0.0,0.0,26.768696848669123,0.0,26.35609164882388,0.0,18.0,13.175399999999994,3.722303333333333,,,4.747111111111108,0.0,0.0,,5.062333333333333,43.93001333333333,13.175399999999994,3.7916666666666665
2,1068838.602507084,5797.55421302679,7.0,16.0,50.0,0.0,0.0,12.614184337805806,0.0,26.35609164882388,0.0,32.0,13.175399999999994,3.722303333333333,,,4.747111111111108,0.0,0.0,,5.062333333333333,43.93001333333333,13.175399999999994,3.7916666666666665
3,697941.3738818511,6193.092136807052,7.0,7.0,50.0,0.0,0.0,5.0,0.0,26.35609164882388,0.0,40.0,13.175399999999994,3.722303333333333,,,4.747111111111108,0.0,0.0,,5.062333333333333,43.93001333333333,13.175399999999994,3.7916666666666665
4,329984.68494144146,6588.6300605875,7.0,0.0,50.0,0.0,0.0,0.0,0.0,26.35609164882388,0.0,44.0,13.175399999999994,0.0,,,6.012000000000001,0.0,0.0,,5.062333333333333,43.93001333333333,13.175399999999994,3.7916666666666665
