,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,DHW_to_heat,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,2074431.4753917465,7969.545905057861,17.0,12.0,,,,2000.0,2000.0,39.05860486680271,0.0,0.0,0.0,0.0,23.0,27.0,250.00000000000006,0.0,0.0,67.3410234067619,10.586676666666666,22.883233333333337,26.795983333333325,8.214833333333333
1,1853895.3799004073,8186.296423444002,18.0,8.0,,,,0.0,5.006282747801301,39.05860486680271,0.0,0.0,0.0,8.126333333333333,22.883233333333337,26.795983333333325,3.0650833333333347,0.0,0.0,67.3410234067619,10.586676666666666,22.883233333333337,26.795983333333325,8.214833333333333
2,1757263.4680088917,8403.046941830002,20.0,8.0,,,,0.0,5.0,39.05860486680271,0.0,0.0,0.0,8.126333333333333,22.883233333333337,26.795983333333325,3.0650833333333347,0.0,0.0,67.3410234067619,10.586676666666666,22.883233333333337,26.795983333333325,8.214833333333333
3,1660631.6579543655,8619.7974602162,20.0,8.0,,,,0.0,5.0,39.05860486680271,0.0,0.0,0.0,8.126333333333333,22.883233333333337,26.795983333333325,3.0650833333333347,0.0,0.0,67.3410234067619,10.586676666666666,22.883233333333337,26.795983333333325,8.214833333333333
4,1562432.3014572822,8836.54797860243,20.0,0.0,,,,0.0,0.0,39.05860486680271,0.0,0.0,0.0,8.214833333333333,22.883233333333337,26.79598333333333,2.561486111111109,0.0,0.0,67.3410234067619,10.586676666666666,22.883233333333337,26.795983333333325,8.214833333333333
