,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,DHW_to_heat,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,888098.7554679995,3899.126413052679,6.0,44.0,273.13,848.75,2000.0,2000.0,2000.0,24.231394928260503,0.0,0.0,0.0,0.0,12.0,13.0,250.00000000000006,0.0,0.0,56.961976449782355,4.384333333333333,30.25984999999999,12.1325,3.6972733333333334
1,306773.07795068214,4087.6727569421882,7.0,49.0,0.0,0.0,0.0,0.0,33.95678999999999,24.231394928260503,0.0,31.0,0.0,0.0,0.0,12.1325,5.311999999999999,0.0,0.0,56.961976449782355,4.384333333333333,30.25984999999999,12.1325,3.6972733333333334
2,306773.077950682,4087.6727569421873,7.0,49.0,0.0,0.0,0.0,0.0,33.956789999999984,24.231394928260503,0.0,31.0,0.0,0.0,0.0,12.1325,5.311999999999999,0.0,1.0,56.961976449782355,4.384333333333333,30.25984999999999,12.1325,3.6972733333333334
3,306773.077950682,4087.6727569421873,7.0,49.0,0.0,0.0,0.0,0.0,33.95678999999999,24.231394928260503,0.0,31.0,0.0,0.0,0.0,12.1325,5.311999999999999,0.0,0.0,56.961976449782355,4.384333333333333,30.25984999999999,12.1325,3.6972733333333334
4,306763.7152021289,4930.894510222188,7.0,0.0,50.0,0.0,0.0,0.0,0.0,24.231394928260503,0.0,31.0,0.0,0.0,0.0,12.1325,5.311999999999999,0.0,0.0,56.961976449782355,4.384333333333333,30.25984999999999,12.1325,3.6972733333333334
