,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,2125197.2147061443,4795.0977413631035,8.0,52.0,100.0,700.0,2000.0,2000.0,2000.0,46.898539616761894,0.0,4.0,5.0,0.0,12.0,250.00000000000006,0.0,0.0,72.82897773173333,5.8795,35.98834999999999,14.8795,4.848166666666667
1,1278094.168360231,5109.109939511119,8.0,23.0,50.0,0.0,0.0,12.419952369630241,5.0,46.898539616761894,0.0,5.2411666666666665,4.831999999999999,0.0,11.070004615223464,9.303444444444445,0.0,0.0,72.82897773173333,5.8795,35.98834999999999,14.8795,4.848166666666667
2,983621.5943298594,5423.12213765906,8.0,14.0,50.0,0.0,0.0,5.0,5.0,46.898539616761894,0.0,5.2411666666666665,4.831999999999999,0.0,11.070004615223468,9.303444444444445,0.0,0.0,72.82897773173333,5.8795,35.98834999999999,14.8795,4.848166666666667
3,720172.7120402042,5737.134335807141,8.0,7.0,50.0,0.0,0.0,0.0,5.0,46.898539616761894,0.0,3.8094953847765325,4.831999999999999,0.0,11.070004615223468,9.303444444444445,0.0,0.0,72.82897773173333,5.8795,35.98834999999999,14.8795,4.848166666666667
4,578584.218330097,6051.14653395512,10.0,0.0,50.0,0.0,0.0,0.0,0.0,46.898539616761894,0.0,3.7471620514431976,4.848166666666667,0.1001785714285764,11.132337948556803,8.951888888888888,0.0,1.0,72.82897773173333,5.8795,35.98834999999999,14.8795,4.848166666666667
