,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,1372901.4245936442,2227.3579999559906,3.0,26.0,100.0,700.0,2000.0,2000.0,2000.0,13.198754049666697,0.0,6.0,2.0,,,250.00000000000006,0.0,0.0,,2.129,18.492753333333333,5.258399999999997,1.6609999999999998
1,679065.0964738843,2408.263827323799,3.0,11.0,50.0,0.0,0.0,6.81983891412504,5.0,13.1987540496667,0.0,5.258399999999997,1.6356666666666666,,,2.8023611111111113,0.0,0.0,,2.129,18.492753333333333,5.258399999999997,1.6609999999999998
2,509456.0492197275,2589.1696546916182,3.0,9.0,50.0,0.0,0.0,5.0,5.0,13.198754049666697,0.0,5.258399999999997,1.6356666666666666,,,2.8023611111111113,0.0,0.0,,2.129,18.492753333333333,5.258399999999997,1.6609999999999998
3,339876.4997392958,2770.0754820594266,3.0,9.0,50.0,0.0,0.0,5.0,5.0,13.198754049666697,0.0,5.258399999999997,1.6356666666666666,,,2.8023611111111113,0.0,0.0,,2.129,18.492753333333333,5.258399999999997,1.6609999999999998
4,241404.01167888948,2950.9813094272477,4.0,0.0,50.0,0.0,0.0,0.0,0.0,13.198754049666697,0.0,5.258399999999997,1.6609999999999998,,,2.802361111111111,0.0,0.0,,2.129,18.492753333333333,5.258399999999997,1.6609999999999998
