,cost,emission,grid,wood_supply,DHDC_small_heat,DHDC_medium_heat,DHDC_large_heat,wood_boiler_heat,wood_boiler_DHW,PV,SCFP,ASHP,ASHP_DHW,GSHP_heat,GSHP_cooling,battery,DHW_storage,heat_storage,geothermal_boreholes,demand_electricity,demand_space_heating,demand_space_cooling,demand_hot_water
0,2655218.751960942,5946.974008967238,10.0,70.0,100.0,700.0,2000.0,2000.0,2000.0,38.216681651009104,0.0,18.0,5.0,,,250.00000000000006,0.0,0.0,,6.7197,50.07874000000002,17.46289333333333,5.052333333333333
1,1694783.1450776698,6375.582309483969,10.0,30.0,50.0,0.0,0.0,18.138678235767188,5.052333333333333,38.21668165100911,0.0,17.46289333333333,5.0515,,,7.468402777777781,0.0,0.0,,6.7197,50.07874000000002,17.46289333333333,5.052333333333333
2,1292825.6327301716,6804.190610000718,10.0,16.0,50.0,0.0,0.0,6.798161104944458,5.052333333333333,38.21668165100911,0.0,17.46289333333333,5.0515,,,7.468402777777781,0.0,0.0,,6.7197,50.07874000000002,17.46289333333333,5.052333333333333
3,894897.6695782761,7232.798910517462,10.0,8.0,50.0,0.0,0.0,0.0,5.042999999999999,38.21668165100911,0.0,17.46289333333333,5.0515,,,7.468402777777781,0.0,0.0,,6.7197,50.07874000000002,17.46289333333333,5.052333333333333
4,702072.3562059018,7661.4072110342095,12.0,0.0,50.0,0.0,0.0,0.0,0.0,38.216681651009104,0.0,17.46289333333333,5.052333333333333,,,7.468402777777779,0.0,0.0,,6.7197,50.07874000000002,17.46289333333333,5.052333333333333
